trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
59,False,"{'a': 0.1999999999999997, 'e': 0.3134861808826053}",20,1,-27.554798869168692,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
60,False,"{'a': 0.1999999999999997, 'e': 0.30727873860113125}",30,0,23.03455560921382,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
61,False,"{'a': 0.1999999999999997, 'e': 0.30119421191220214}",20,5,23.94235196820267,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.1999999999999997, 'e': 0.2952301669240142}",25,14,22.517234035901478,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.1999999999999997, 'e': 0.2893842179390506}",20,3,-0.5792114976884197,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
64,False,"{'a': 0.1999999999999997, 'e': 0.2836540264997704}",20,0,-0.8879655955373447,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
65,False,"{'a': 0.1999999999999997, 'e': 0.27803730045319414}",20,0,17.66582197219468,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
66,False,"{'a': 0.1999999999999997, 'e': 0.2725317930340126}",25,10,10.710655833723289,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.1999999999999997, 'e': 0.26713530196585034}",25,14,7.353272753184236,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.1999999999999997, 'e': 0.261845668580326}",25,0,32.849548186093976,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.1999999999999997, 'e': 0.2566607769535559}",20,8,21.380909427279118,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.1999999999999997, 'e': 0.25157855305975646}",25,0,-28.296495069253293,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
71,False,"{'a': 0.1999999999999997, 'e': 0.24659696394160643}",20,15,9.128299140273137,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.1999999999999997, 'e': 0.24171401689703645}",25,13,0.20356715705551132,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
73,False,"{'a': 0.1999999999999997, 'e': 0.23692775868212176}",20,14,7.87486449894143,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.1999999999999997, 'e': 0.23223627472975883}",30,15,5.087707460999477,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.1999999999999997, 'e': 0.22763768838381274}",20,5,11.752897207216252,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.1999999999999997, 'e': 0.22313016014842982}",25,1,-22.743391789010232,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 1}",1
77,False,"{'a': 0.1999999999999997, 'e': 0.21871188695221475}",20,8,9.30499428725995,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.1999999999999997, 'e': 0.21438110142697794}",25,14,-4.284639646935107,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.1999999999999997, 'e': 0.21013607120076472}",30,18,-6.227528934006712,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
80,False,"{'a': 0.1999999999999997, 'e': 0.20597509820488344}",25,5,-19.69433502728084,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
81,False,"{'a': 0.1999999999999997, 'e': 0.20189651799465538}",25,16,11.180645564095114,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.1999999999999997, 'e': 0.19789869908361465}",25,13,10.765870559744098,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.1999999999999997, 'e': 0.19398004229089189}",20,11,-7.33278054809982,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.1999999999999997, 'e': 0.1901389801015205}",30,0,-64.18453590983232,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",1
85,False,"{'a': 0.1999999999999997, 'e': 0.18637397603940997}",25,8,6.307384830035245,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
86,False,"{'a': 0.1999999999999997, 'e': 0.18268352405273466}",20,6,3.9731124337312975,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
87,False,"{'a': 0.1999999999999997, 'e': 0.17906614791149322}",20,13,-32.46933526820358,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
88,False,"{'a': 0.1999999999999997, 'e': 0.17552040061699686}",20,7,6.746418868578701,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.1999999999999997, 'e': 0.17204486382305054}",20,14,-32.94992074368131,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
90,False,"{'a': 0.1999999999999997, 'e': 0.1686381472685955}",20,16,6.074952076656507,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.1999999999999997, 'e': 0.16529888822158653}",30,16,27.26826308407595,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.1999999999999997, 'e': 0.16202575093388075}",20,8,22.257500965322283,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.1999999999999997, 'e': 0.15881742610692068}",30,1,41.53905579255107,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.1999999999999997, 'e': 0.1556726303679973}",30,13,8.814919018849842,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.1999999999999997, 'e': 0.15259010575688386}",20,13,3.0334411728391357,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.1999999999999997, 'e': 0.14956861922263504}",20,10,17.153821258963383,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.1999999999999997, 'e': 0.14660696213035015}",25,12,23.493418955579358,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.1999999999999997, 'e': 0.14370394977770293}",30,19,20.79315233899917,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.1999999999999997, 'e': 0.140858420921045}",25,9,13.316526899410757,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.1999999999999997, 'e': 0.13806923731089282}",20,6,27.074107615237157,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.1999999999999997, 'e': 0.1353352832366127}",25,9,20.95012626159187,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.1999999999999997, 'e': 0.13265546508012172}",25,8,23.11732446213325,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.1999999999999997, 'e': 0.1300287108784259}",20,10,17.921404772685587,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.1999999999999997, 'e': 0.12745396989482075}",20,4,6.019043910729,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
105,False,"{'a': 0.1999999999999997, 'e': 0.12493021219858241}",30,14,15.97014575800573,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.1999999999999997, 'e': 0.1224564282529819}",20,13,11.321183593247246,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.1999999999999997, 'e': 0.12003162851145673}",20,8,-22.843401481958953,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
108,False,"{'a': 0.1999999999999997, 'e': 0.11765484302177918}",25,17,2.3896909838545124,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.1999999999999997, 'e': 0.11532512103806251}",25,8,33.23083036997451,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.1999999999999997, 'e': 0.11304153064044985}",20,9,6.226972985379663,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.1999999999999997, 'e': 0.11080315836233387}",25,11,25.387389647778107,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.1999999999999997, 'e': 0.10860910882495796}",20,16,6.105626609400645,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.1999999999999997, 'e': 0.1064585043792528}",20,7,24.048849228070978,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.1999999999999997, 'e': 0.104350484754765}",20,6,-2.2579306517353688,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.1999999999999997, 'e': 0.10228420671553744}",25,1,38.869561753972484,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.1999999999999997, 'e': 0.1002588437228037}",20,9,-3.2313258976666925,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
117,False,"{'a': 0.1999999999999997, 'e': 0.09827358560436154}",20,7,7.997672787445552,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.1999999999999997, 'e': 0.09632763823049303}",25,13,2.5402585747453736,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.1999999999999997, 'e': 0.09442022319630235}",30,18,23.99570461326183,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.1999999999999997, 'e': 0.09255057751034329}",20,1,17.869433382385182,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.1999999999999997, 'e': 0.09071795328941251}",30,14,19.125042848868503,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.1999999999999997, 'e': 0.08892161745938634}",20,4,24.757622155271218,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.1999999999999997, 'e': 0.0871608514619813}",25,8,28.622716757828798,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.1999999999999997, 'e': 0.08543495096732123}",25,11,1.2052595154042012,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.1999999999999997, 'e': 0.08374322559219596}",25,9,18.407342030562916,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.1999999999999997, 'e': 0.0820849986238988}",30,16,13.315650631923358,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.1999999999999997, 'e': 0.08045960674953244}",25,0,26.530363612215023,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
128,False,"{'a': 0.1999999999999997, 'e': 0.07886639979067495}",20,9,18.846205498713253,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.1999999999999997, 'e': 0.07730474044329974}",25,9,31.663161509021574,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.1999999999999997, 'e': 0.07577400402284548}",25,8,29.54164250489852,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.1999999999999997, 'e': 0.07427357821433388}",20,11,13.259823066845229,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.1999999999999997, 'e': 0.07280286282743559}",20,8,15.632330836477298,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.1999999999999997, 'e': 0.07136126955638605}",25,10,26.47537683677737,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.1999999999999997, 'e': 0.06994822174465536}",25,12,17.88710527742529,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.1999999999999997, 'e': 0.06856315415427791}",20,14,11.059582948029677,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.1999999999999997, 'e': 0.06720551273974976}",20,8,21.06958806447011,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.1999999999999997, 'e': 0.06587475442640295}",20,4,6.830255876204019,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
138,False,"{'a': 0.1999999999999997, 'e': 0.06457034689316847}",35,20,25.63622670945103,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.1999999999999997, 'e': 0.0632917683596407}",30,18,23.599505155872766,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.1999999999999997, 'e': 0.06203850737735829}",20,13,13.100540913400458,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.1999999999999997, 'e': 0.06081006262521795}",20,14,9.60094264341425,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.1999999999999997, 'e': 0.05960594270893937}",30,10,19.53693641425487,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.1999999999999997, 'e': 0.05842566596450083}",30,12,20.751513886297367,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.1999999999999997, 'e': 0.05726876026546736}",35,13,45.61055286421705,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.1999999999999997, 'e': 0.056134762834133725}",25,11,18.829591140819222,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.1999999999999997, 'e': 0.05502322005640723}",20,14,8.804158250950287,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.1999999999999997, 'e': 0.05393368730035602}",25,4,24.318971565965548,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.1999999999999997, 'e': 0.05286572873835037}",30,2,43.71771574074702,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.1999999999999997, 'e': 0.05181891717272583}",20,13,13.253975426002333,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.1999999999999997, 'e': 0.0507928338648985}",20,8,8.464176013138836,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.1999999999999997, 'e': 0.049787068367863944}",20,16,5.834020023359344,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
